id,review_text,PhyID,platform
2056045,"Modern new office that has an esthetician on site. I like getting my facials done at these places because they use higher quality products.The person that did my facial was Julie...she did such a great job, really took her time and was very knowledgeable on skin care. I am definitely coming back! I made an appointment with the dermatologist in Nov for my eczema..will let you guys know how that goes.",100470836,Yelp
2501833,"Dr. Castañeda is by far the BEST Orthopedic Surgeon in the state. I'm a complicated case and she also has to fix what another OS messed up. In addition to her being a genius surgeon, she also has an incredible bedside manner. She really takes the time to understand  your case and will talk things through with you. She won't jump into a surgery unless it's absolutely necessary. I wouldn't go to anyone else.",100572544,HG
3873814,Been a patient for over 10 years.  Stays with me on a medicine change and works with me.  Office staff is excellent and if you need to see him in a crisis will get you in.  Dr. Forsythe is very intelligent and is good on over options with you.  Highly recommend.,100885757,HG
1998834,"Staff treats you like a third class citizen and bashes each other to clients.Nursing staff makes many promises and when they can't fulfill them blames them on patient.When you trust your and your child's health on someone you usually hope they will follow through.Using this provider was one of the biggest mistake I could have made for my health.All wait times averaged over an hour, and provider is not available for questions past your appointment from my experience.",100459145,RateMD
371307,"If you have a special needs child, do not see this physician!!  The amount of time spent on my child was about 7 minutes and he turned out to have pneumonia! After calllng for a follow up visit the office sent us to the ER because authorization for an antibiotic shot would take "" too long"".   Never in my life been so disgusted with health care!",100082043,HG
3874385,"I have been a pt since 2016, at first I was happy with Dr Lerner, but after about a year they quit e-scripts, because, according  to them, Medicare wouldn't let them  send scripts by fax anymore, so you had to come pick up your Rx. For which they charged a ""short office visit"" did not see anyone except office personnel,  no doc no nurse practitioner....or, for a small fee they would fax your Rx. Started out at $40, later they charged a one-time fee for 6 months, but since you had to have an appt every other month, still too much, especially since they said they weren't allowed by Medicare to do it at all. Then I had to change a couple of appts, I did call to change them and ask about my balance and how much I needed to pay to be seen again, and someone was supposed to call me back,no one ever called back, and I call today and I have been ""discharged from the practice "" for missing appointments. I feel like they do not care about me or my pain, only about the money they can get.",100885833,HG
235083,"Not going back. Not helpful in explaining things. Difficult to reach, Glad I saw another doctor.",100049736,HG
3552757,"Been with this office for 20+ years. Besides misdiagnosing, Dr Shah and his staff take several days to get back to you when dealing with serious health issues. And at times, never to return your messages. Ever since Dr. Edmunds retired, this office, doctors and staff has not been the same. Staff is rude, unprofessional. Sadly our family will never return.",100812364,Vitals
2908812,"I've been going to Kenton since my primary physician retired a few years ago.  He's always personable and polite. Whenever I have questions he is more than willing to answer my questions.  He's always willing to explain the ""why"" of the treatment as well. I honestly have no complaints.  I'm a huge fan of constructive criticism - but I have none for Kenton.  He's the ideal doctor.",100667094,HG
3234016,"Dr. Patel is one of the most compassionate and caring Dr.'s I have visited in a very long time. That means a tremendous amount to me that my Doctor wants the very best health care for me! The amazing thing is he showed the very same hospitality, compassion and care for each of his patients as they walked in. I could really feel and see God's love in action through him and his excellent staff! Thank God for you Dr. Patel and your amazing staff!",100740181,HG
926521,Dr. Casey is just awesome!!! Her knowledge and care for her patients and their parents is bar none. She's easy to reach and easy to talk to. Her staff is just as knowledgeable and pleasant as she! What a wonderful experience everytime I visit. Great Dr.-great staff!!!,100212028,Vitals
3887307,"Dr. Ghassemi was excellent! Went in for wisdom teeth removal (had all 4 extracted) he went over the procedure in depth, answered all of my questions and made me feel comfortable before the procedure. The staff was also very kind! Can't remember all of their names but they were all so nice and made me feel welcomed. Nora in the front office is super sweet and helpful. Will recommend to everyone I know!",100888527,Yelp
2965041,For years I've been on ambien and she was successfully able to wean me off it and helped me find alternative ways to sleep. She's helped me through some really dark times. Even after hours she was there for me.,100680396,Vitals
3730238,"Dr Mannas is the best neurosurgeon in Lubbock, TX!!! He is excellent in his skills as a surgeon and will spend the time to explain in details to his patients their condition and how he is going to do the surgery to help them with their problem. I just learned that the nurses called him ""the doctor with magic hands"" because he heals the patients!",100851144,Vitals
1978407,Dr Sonnanstine truly cares about your care.  He is kind and respectful.  He never rushes and makes sure he answers all your questions.  He is a genuinely kind person and wonderful surgeon.  I had Gastric Sleeve Surgery with ZERO issues.  I am so glad I had Dr. Sonnanstine as my surgeon.,100454285,Vitals
2031424,Been using Dr. B for 30 years and he is the ultimate professional while at the same time having a great sense of humor.  Just to give you a flavor of how I feel about Dr. B I moved to FL over a year ago and still go to him for my required quarterly check ups!,100466825,HG
3630352,Dr. Krivinko diagnosed and helped me get through s scarey condition.  I am grateful to him for his abilities as a doctor and his level of true empathy for me as a patient.  I highly recommend him.,100828087,Vitals
4556283,feel much better.,101045404,HG
2063824,"I have recommended a lot of people to her. She is very thorough, she found my parathyroid and explained it to me so I wouldn't be afraid. She takes as much time as I need!!! She is the best doctor I ever had. My surgeon at Cleveland clinic gave her a Hugh compliment. He was impressed she did all the correct tests! I feel in great hands! One of the best around here, I have a lot to compare from. It's my health and my responsibility.",100473599,HG
965071,Dr Sanchez-Fortis and staff were very professional and helpful. Doctor answered all my questions and took the time to explain everything to me and my family.,100222333,HG
2026858,"I'm a service connected disabled veteran.  Ever since this doctor has been my care provider, my medical care is the worst I've ever received.",100465792,Vitals
4066860,"Don&#39;t even think about using this office. Had a family member use this office. The staff is rude and uncaring. Wonder if the Dr is aware of how her office is being run. Just pray you don&#39;t have a problem, because if you do, you don&#39;t get answer response.",100933822,Yelp
4654022,Dr. Swengros was a great doctor 5 years ago but now he is a robot.   Want's to pawn off my concerns to other physicians that I am currently seeing. He main nurse is rude and unfriendly.  I am currently looking for another non - Watson Clinic doctor.,101064060,HG
1331997,I've been a patient for over 10 yrs I'd highly recommend him.,100302581,Vitals
3744912,I love Dr Gohill!! She is like a walking medical dictionary and google search all in one!  She always listens and takes everything I say seriously.  I highly recommend her!!,100856771,HG
4545884,"This was my first visit to Dr. Bement and she was excellent!  She was caring and spent time with me.  I felt like she really cared about me and the issues I am having.  I also liked the way she repeated everything back that we had talked about in the appointment and our plan of action right before I left to make sure we were both on the same page.  She is classy, professional and very knowledgeable.  I think I have found my primary care physician for as long as I live in this area.",101040701,Vitals
3693257,I had a great experience with Dr Heyrani last week when I saw him regarding trouble I&#39;ve been having with my wrist. He took the time to examine and discuss the problem I&#39;ve been having. I left with a treatment plan and I&#39;m on my way to healing. He&#39;s treated my friends kids as well and is awesome with them. I will be returning to his office again anytime my kids have any orthopedic needs in the future. I highly recommend this doctor!,100842641,Yelp
3807236,I appreciate the time and skill Dr. Hirata gives to me-a 72 year old woman. She answers questions and is never patronizing.She is one of the best I have ever seen.,100870906,RateMD
303555,Always efficient and the care is amazing! I feel very well cared for by my doctor.,100064677,HG
3461218,"I had Dr. Clifford performed bilateral makoplasty (partial knee replacement using a robot),  This doctor is the absolutely the best.  I got my life back and am thankful for Dr. Clifford every day.  
You will not find a better orthopaedic surgeon.",100793786,Vitals
4563712,"My wife and I have been Patients and treated like family by Dr Patel for 2 years. We have never experienced care as we do with Dr Patel. He takes the time to get to know you. His treatment is for long term health not just a prescription. Dr Patel and his staff are a special group of People.
Nick and Melissa S.",101046248,HG
4107380,"Dr.Ticoras is extremely compassionate and has strong customer service orientation skills.  An example from my last appointment is that after I had waited in the reception room and the exam room a total of  not more that 10 minutes or less, he apologized for my wait. I am satisfied with much more than that, even up to 10 minutes in each - reception room and exam room.   He indicated that my time was as important as his time, which is a very refreshing attitude for a medical provider.",100939953,HG
2126391,"Great dr, great care and great staff, recommend highly.",100485014,Vitals
4061544,"Well  I'am disappointed, I have referred her to all my family, they all love her, but tried to make an appointment today and they say since I no showed 4 years ago they don't want me to come there. She had helped my wife and I out through the passing of our sons. Oh well gonna stop the referrals.",100932889,HG
4048625,My legs look and feel so much better!,100927737,Vitals
578318,Dr Rollins has been my PCP since October 2018 and he explains everything to me.  Very courteous and professional.,100132279,HG
